$T$,Est.,$\Pr(\hat\lambda\!<\!0)$,Size,Power,Net,Size$^P$,Dist.
250,E1,0.0,0.0705,0.128,0.0575,0.0705,1.5858798181559354e-14
250,E3h,0.2405,0.13,0.182,0.052,0.1275,0.09676283086571519
250,E3s,0.0,0.0735,0.1265,0.053,0.0735,1.612127983872592e-14
250,E3h_avg,0.0,0.0825,0.1405,0.058,0.0825,1.8344060549244852e-14
250,E3s_avg,0.0,0.071,0.123,0.052,0.071,1.4460580043101683e-14
250,E4h,0.0215,0.0755,0.128,0.0525,0.0755,0.01473297600030314
250,E4s,0.0,0.068,0.119,0.051,0.068,1.295858867891867e-14
250,E4h_avg,0.0005,0.0645,0.1175,0.053,0.0645,0.0003235667197006314
250,E4s_avg,0.0,0.0725,0.1205,0.048,0.0725,1.1645841974034685e-14
500,E1,0.0,0.0635,0.1075,0.044,0.0635,1.6697259136414213e-14
500,E3h,0.0385,0.0915,0.14,0.0485,0.091,0.01166357242621184
500,E3s,0.0,0.0645,0.107,0.0425,0.0645,1.7371627574880908e-14
500,E3h_avg,0.0,0.062,0.1115,0.0495,0.062,1.921413089826603e-14
500,E3s_avg,0.0,0.061,0.1045,0.0435,0.061,1.4929686194794413e-14
500,E4h,0.0025,0.0575,0.1045,0.047,0.0575,0.0018787924724663644
500,E4s,0.0,0.0615,0.1075,0.046,0.0615,1.3194244294349362e-14
500,E4h_avg,0.0,0.0525,0.097,0.0445,0.0525,1.5321540110934005e-14
500,E4s_avg,0.0,0.064,0.111,0.047,0.064,1.2017815450692304e-14
1000,E1,0.0,0.058,0.101,0.043,0.058,1.7921278766812522e-14
1000,E3h,0.0,0.076,0.116,0.04,0.076,2.1693755026420355e-14
1000,E3s,0.0,0.059,0.104,0.045,0.059,1.915869318148919e-14
1000,E3h_avg,0.0,0.056,0.102,0.046,0.056,1.987192630702616e-14
1000,E3s_avg,0.0,0.056,0.107,0.051,0.056,1.6048029120036546e-14
1000,E4h,0.0,0.054,0.105,0.051,0.054,1.830763760701107e-14
1000,E4s,0.0,0.059,0.11,0.051,0.059,1.391057241840032e-14
1000,E4h_avg,0.0,0.051,0.101,0.05,0.051,1.680952580280673e-14
1000,E4s_avg,0.0,0.064,0.11,0.046,0.064,1.2968235757576985e-14
